Word,Subtopic_of,Weight
public,said,0.2799
put,said,0.2448
really,said,0.2034
remain,said,0.2094
report,said,0.2694
result,said,0.2076
right,said,0.2651
rise,said,0.213
say,said,0.3131
saying,said,0.2952
secretary,said,0.2873
see,said,0.292
seen,said,0.2448
service,said,0.2389
set,said,0.2215
since,said,0.2634
something,said,0.2127
spokesman,said,0.3601
state,said,0.2102
statement,said,0.2766
still,said,0.277
strong,said,0.2185
support,said,0.2356
system,said,0.2169
take,said,0.29
taken,said,0.2248
term,said,0.2198
thats,said,0.2008
thing,said,0.2399
think,said,0.3065
thought,said,0.2353
three,said,0.2497
time,said,0.2672
today,said,0.2344
told,said,0.3783
trying,said,0.2018
two,said,0.2479
uk,said,0.3203
use,said,0.2647
used,said,0.2156
using,said,0.2105
want,said,0.3061
wanted,said,0.2099
warned,said,0.2284
way,said,0.3203
week,said,0.2552
well,said,0.2629
whether,said,0.2308
without,said,0.2014
work,said,0.2743
working,said,0.2218
world,said,0.225
would,said,0.3531
xcxa,said,0.2059
yet,said,0.2018
_eral_democrat,wa,0.2776
added,wa,0.252
always,wa,0.2111
another,wa,0.2593
asked,wa,0.2177
away,wa,0.2378
back,wa,0.2727
bbc,wa,0.2276
big,wa,0.2062
british,wa,0.2081
called,wa,0.2007
came,wa,0.2785
case,wa,0.2006
claim,wa,0.2209
come,wa,0.2241
could,wa,0.2248
day,wa,0.2407
decision,wa,0.2197
despite,wa,0.2141
didnt,wa,0.2233
died,wa,0.2028
dont,wa,0.2569
end,wa,0.2294
even,wa,0.2674
far,wa,0.212
final,wa,0.2114
first,wa,0.2774
five,wa,0.2129
following,wa,0.2078
former,wa,0.2329
four,wa,0.2285
game,wa,0.2113
get,wa,0.2706
given,wa,0.2192
go,wa,0.2557
going,wa,0.27
good,wa,0.2605
got,wa,0.2517
government,wa,0.2313
great,wa,0.2286
happened,wa,0.2069
hit,wa,0.202
home,wa,0.2288
however,wa,0.2091
im,wa,0.2241
including,wa,0.2053
issue,wa,0.2091
know,wa,0.2326
last,wa,0.2233
later,wa,0.2389
lib_dems,wa,0.2548
life,wa,0.2118
like,wa,0.2586
little,wa,0.2073
london,wa,0.2
long,wa,0.2224
lot,wa,0.2209
made,wa,0.2984
make,wa,0.2289
man,wa,0.2399
many,wa,0.2374
match,wa,0.201
minister,wa,0.2565
month,wa,0.205
mr,wa,0.2796
much,wa,0.2355
never,wa,0.2556
new,wa,0.201
news,wa,0.206
next,wa,0.219
old,wa,0.2479
one,wa,0.2398
part,wa,0.2196
people,wa,0.2121
play,wa,0.209
played,wa,0.2067
problem,wa,0.2029
put,wa,0.2416
really,wa,0.2363
right,wa,0.2345
say,wa,0.2109
saying,wa,0.2298
second,wa,0.2606
see,wa,0.2482
seen,wa,0.2098
set,wa,0.2409
since,wa,0.2289
something,wa,0.2361
spokesman,wa,0.2147
still,wa,0.2231
take,wa,0.2364
thing,wa,0.2766
think,wa,0.2699
thought,wa,0.2496
three,wa,0.2427
time,wa,0.2676
today,wa,0.2023
told,wa,0.32
took,wa,0.2535
two,wa,0.2497
way,wa,0.2657
week,wa,0.239
well,wa,0.272
went,wa,0.2751
win,wa,0.2553
work,wa,0.2493
world,wa,0.2117
would,wa,0.2043
actor,film,0.2333
actress,film,0.2843
cinema,film,0.3259
hollywood,film,0.2806
movie,film,0.2104
oscar,film,0.3376
starring,film,0.2942
actor,star,0.248
actress,star,0.2149
hollywood,star,0.2543
actress,best,0.226
award,best,0.2588
ago,year,0.2471
award,year,0.2115
bn,year,0.2096
economy,year,0.2134
end,year,0.2066
expected,year,0.2017
figure,year,0.2081
five,year,0.2145
forecast,year,0.2153
growth,year,0.2533
hit,year,0.2006
last,year,0.2397
market,year,0.2073
million,year,0.211
month,year,0.2284
next,year,0.2332
old,year,0.3434
previous,year,0.2054
profit,year,0.2088
recent,year,0.221
record,year,0.2106
rise,year,0.2276
rose,year,0.2146
since,year,0.2424
strong,year,0.2094
success,year,0.2135
three,year,0.2151
world,year,0.2143
blair,mr,0.4069
brown,mr,0.2701
chancellor,mr,0.2947
conservative,mr,0.2565
election,mr,0.2821
howard,mr,0.2334
labour,mr,0.3163
leader,mr,0.3055
party,mr,0.2518
tony,mr,0.3028
tory,mr,0.3022
blair,would,0.2037
conservative,would,0.2235
election,would,0.2177
labour,would,0.247
leader,would,0.208
party,would,0.2007
shadow,would,0.2489
tony,would,0.2198
tory,would,0.2902
cabinet,minister,0.2795
prime,minister,0.4727
category,award,0.2664
ceremony,award,0.2972
nominated,award,0.2415
nomination,award,0.2963
chart,number,0.2202
economist,economy,0.2492
economist,growth,0.2791
election,_eral_democrat,0.2384
fed,_eral_democrat,0.2129
gen,_eral_democrat,0.4325
ov,_eral_democrat,0.2991
sev,_eral_democrat,0.4015
eu,european,0.2588
gaming,game,0.2215
grand,win,0.2245
victory,win,0.2361
howard,michael,0.211
human,right,0.2689
program,software,0.212
slam,grand,0.3045
stock,market,0.2651
user,people,0.2165
web,people,0.2326
voter,election,0.2187
york,new,0.3098
